Date,Open,High,Low,Close,Adj Close,Volume,next_open,next_close,Open_lag_1,Open_lag_2,Open_lag_3,Open_lag_5,High_lag_1,High_lag_2,High_lag_3,High_lag_5,Low_lag_1,Low_lag_2,Low_lag_3,Low_lag_5,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_5,Adj Close_lag_1,Adj Close_lag_2,Adj Close_lag_3,Adj Close_lag_5,Volume_lag_1,Volume_lag_2,Volume_lag_3,Volume_lag_5
2022-01-10,1131.59765625,1133.9051513671875,1115.0067138671875,1125.1365966796875,1109.3193359375,9246731,1124.213623046875,1133.2359619140625,1121.883056640625,1131.2283935546875,1136.212646484375,1091.4471435546875,1134.3896484375,1132.5206298828125,1143.1351318359375,1111.2685546875,1112.929931640625,1111.7530517578125,1122.8060302734375,1090.7779541015625,1124.213623046875,1115.21435546875,1139.719970703125,1109.3763427734375,1108.4091796875,1099.53662109375,1123.69775390625,1093.780517578125,13112115.0,14447422.0,11643813.0,5421611.0
2022-01-11,1124.213623046875,1142.18896484375,1123.7520751953125,1133.2359619140625,1117.3048095703125,16205164,1140.5045166015625,1163.4871826171875,1131.59765625,1121.883056640625,1131.2283935546875,1114.9375,1133.9051513671875,1134.3896484375,1132.5206298828125,1135.7510986328125,1115.0067138671875,1112.929931640625,1111.7530517578125,1109.445556640625,1125.1365966796875,1124.213623046875,1115.21435546875,1134.4127197265625,1109.3193359375,1108.4091796875,1099.53662109375,1118.4649658203125,9246731.0,13112115.0,14447422.0,10847728.0
2022-01-12,1140.5045166015625,1165.2640380859375,1137.5970458984375,1163.4871826171875,1147.130859375,14800442,1163.5565185546875,1170.04052734375,1124.213623046875,1131.59765625,1121.883056640625,1136.212646484375,1142.18896484375,1133.9051513671875,1134.3896484375,1143.1351318359375,1123.7520751953125,1115.0067138671875,1112.929931640625,1122.8060302734375,1133.2359619140625,1125.1365966796875,1124.213623046875,1139.719970703125,1117.3048095703125,1109.3193359375,1108.4091796875,1123.69775390625,16205164.0,9246731.0,13112115.0,11643813.0
2022-01-13,1163.5565185546875,1172.671142578125,1157.626220703125,1170.04052734375,1153.592041015625,11856712,1169.902099609375,1171.748046875,1140.5045166015625,1124.213623046875,1131.59765625,1131.2283935546875,1165.2640380859375,1142.18896484375,1133.9051513671875,1132.5206298828125,1137.5970458984375,1123.7520751953125,1115.0067138671875,1111.7530517578125,1163.4871826171875,1133.2359619140625,1125.1365966796875,1115.21435546875,1147.130859375,1117.3048095703125,1109.3193359375,1099.53662109375,14800442.0,16205164.0,9246731.0,14447422.0
2022-01-14,1169.902099609375,1184.8084716796875,1165.6793212890625,1171.748046875,1155.2755126953125,19930176,1171.28662109375,1177.8629150390625,1163.5565185546875,1140.5045166015625,1124.213623046875,1121.883056640625,1172.671142578125,1165.2640380859375,1142.18896484375,1134.3896484375,1157.626220703125,1137.5970458984375,1123.7520751953125,1112.929931640625,1170.04052734375,1163.4871826171875,1133.2359619140625,1124.213623046875,1153.592041015625,1147.130859375,1117.3048095703125,1108.4091796875,11856712.0,14800442.0,16205164.0,13112115.0
2022-01-17,1171.28662109375,1183.7470703125,1170.8250732421875,1177.8629150390625,1161.304443359375,8036453,1179.0167236328125,1163.810302734375,1169.902099609375,1163.5565185546875,1140.5045166015625,1131.59765625,1184.8084716796875,1172.671142578125,1165.2640380859375,1133.9051513671875,1165.6793212890625,1157.626220703125,1137.5970458984375,1115.0067138671875,1171.748046875,1170.04052734375,1163.4871826171875,1125.1365966796875,1155.2755126953125,1153.592041015625,1147.130859375,1109.3193359375,19930176.0,11856712.0,14800442.0,9246731.0
2022-01-18,1179.0167236328125,1182.5240478515625,1161.0181884765625,1163.810302734375,1147.44921875,6215029,1167.5946044921875,1163.718017578125,1171.28662109375,1169.902099609375,1163.5565185546875,1124.213623046875,1183.7470703125,1184.8084716796875,1172.671142578125,1142.18896484375,1170.8250732421875,1165.6793212890625,1157.626220703125,1123.7520751953125,1177.8629150390625,1171.748046875,1170.04052734375,1133.2359619140625,1161.304443359375,1155.2755126953125,1153.592041015625,1117.3048095703125,8036453.0,19930176.0,11856712.0,16205164.0
2022-01-19,1167.5946044921875,1173.132568359375,1157.903076171875,1163.718017578125,1147.3583984375,9755485,1153.772705078125,1143.3427734375,1179.0167236328125,1171.28662109375,1169.902099609375,1140.5045166015625,1182.5240478515625,1183.7470703125,1184.8084716796875,1165.2640380859375,1161.0181884765625,1170.8250732421875,1165.6793212890625,1137.5970458984375,1163.810302734375,1177.8629150390625,1171.748046875,1163.4871826171875,1147.44921875,1161.304443359375,1155.2755126953125,1147.130859375,6215029.0,8036453.0,19930176.0,14800442.0
2022-01-20,1153.772705078125,1158.341552734375,1132.9820556640625,1143.3427734375,1127.26953125,16494486,1131.59765625,1143.52734375,1167.5946044921875,1179.0167236328125,1171.28662109375,1163.5565185546875,1173.132568359375,1182.5240478515625,1183.7470703125,1172.671142578125,1157.903076171875,1161.0181884765625,1170.8250732421875,1157.626220703125,1163.718017578125,1163.810302734375,1177.8629150390625,1170.04052734375,1147.3583984375,1147.44921875,1161.304443359375,1153.592041015625,9755485.0,6215029.0,8036453.0,11856712.0
2022-01-21,1131.59765625,1154.7879638671875,1131.59765625,1143.52734375,1127.4515380859375,13338594,1142.2120361328125,1097.4005126953125,1153.772705078125,1167.5946044921875,1179.0167236328125,1169.902099609375,1158.341552734375,1173.132568359375,1182.5240478515625,1184.8084716796875,1132.9820556640625,1157.903076171875,1161.0181884765625,1165.6793212890625,1143.3427734375,1163.718017578125,1163.810302734375,1171.748046875,1127.26953125,1147.3583984375,1147.44921875,1155.2755126953125,16494486.0,9755485.0,6215029.0,19930176.0
