Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1091.4471435546875,1111.2685546875,1090.7779541015625,1109.3763427734375,1093.780517578125,5421611
2022-01-04,1114.9375,1135.7510986328125,1109.445556640625,1134.4127197265625,1118.4649658203125,10847728
2022-01-05,1136.212646484375,1143.1351318359375,1122.8060302734375,1139.719970703125,1123.69775390625,11643813
2022-01-06,1131.2283935546875,1132.5206298828125,1111.7530517578125,1115.21435546875,1099.53662109375,14447422
2022-01-07,1121.883056640625,1134.3896484375,1112.929931640625,1124.213623046875,1108.4091796875,13112115
2022-01-10,1131.59765625,1133.9051513671875,1115.0067138671875,1125.1365966796875,1109.3193359375,9246731
2022-01-11,1124.213623046875,1142.18896484375,1123.7520751953125,1133.2359619140625,1117.3048095703125,16205164
2022-01-12,1140.5045166015625,1165.2640380859375,1137.5970458984375,1163.4871826171875,1147.130859375,14800442
2022-01-13,1163.5565185546875,1172.671142578125,1157.626220703125,1170.04052734375,1153.592041015625,11856712
2022-01-14,1169.902099609375,1184.8084716796875,1165.6793212890625,1171.748046875,1155.2755126953125,19930176
2022-01-17,1171.28662109375,1183.7470703125,1170.8250732421875,1177.8629150390625,1161.304443359375,8036453
2022-01-18,1179.0167236328125,1182.5240478515625,1161.0181884765625,1163.810302734375,1147.44921875,6215029
2022-01-19,1167.5946044921875,1173.132568359375,1157.903076171875,1163.718017578125,1147.3583984375,9755485
2022-01-20,1153.772705078125,1158.341552734375,1132.9820556640625,1143.3427734375,1127.26953125,16494486
2022-01-21,1131.59765625,1154.7879638671875,1131.59765625,1143.52734375,1127.4515380859375,13338594
2022-01-24,1142.2120361328125,1155.9417724609375,1086.8782958984375,1097.4005126953125,1081.9730224609375,21868937
2022-01-25,1084.31689453125,1102.361572265625,1063.757080078125,1095.2545166015625,1079.8572998046875,24510205
2022-01-27,1078.0635986328125,1087.3397216796875,1066.5491943359375,1079.03271484375,1063.863525390625,20020431
2022-01-28,1091.4471435546875,1096.4774169921875,1074.5562744140625,1077.994384765625,1062.8399658203125,14667727
2022-01-31,1089.23193359375,1110.55322265625,1087.3858642578125,1101.41552734375,1085.931884765625,12143683
2022-02-01,1111.2916259765625,1117.1064453125,1083.186279296875,1097.7696533203125,1082.337158203125,13200509
2022-02-02,1110.830078125,1110.830078125,1096.1082763671875,1100.0079345703125,1084.5439453125,10017691
2022-02-03,1103.9075927734375,1108.268798828125,1083.232421875,1085.793701171875,1070.5294189453125,9572839
2022-02-04,1080.37109375,1083.809326171875,1071.187255859375,1075.89453125,1060.76953125,11061241
2022-02-07,1080.8326416015625,1087.662841796875,1063.757080078125,1069.34130859375,1054.3084716796875,10714467
2022-02-08,1075.5946044921875,1089.1396484375,1066.0645751953125,1087.316650390625,1072.031005859375,12060849
2022-02-09,1094.2852783203125,1101.6923828125,1088.2166748046875,1099.98486328125,1084.5211181640625,11486225
2022-02-10,1105.6151123046875,1105.6151123046875,1091.4932861328125,1098.854248046875,1083.406494140625,12464491
2022-02-11,1095.2545166015625,1100.4464111328125,1081.8017578125,1096.708251953125,1081.2906494140625,15943370
2022-02-14,1080.0250244140625,1086.80908203125,1067.4490966796875,1079.240478515625,1064.068359375,10719633
2022-02-15,1085.078369140625,1118.6295166015625,1077.9251708984375,1115.883544921875,1100.1964111328125,11212671
2022-02-16,1121.444580078125,1122.8291015625,1105.7305908203125,1113.5760498046875,1097.92138671875,10392840
2022-02-17,1116.875732421875,1132.9359130859375,1112.214599609375,1127.6748046875,1111.82177734375,12853252
2022-02-18,1128.0902099609375,1133.628173828125,1116.8988037109375,1118.8602294921875,1103.1312255859375,6775458
2022-02-21,1113.1375732421875,1124.9058837890625,1100.4925537109375,1107.553466796875,1091.9833984375,11107193
2022-02-22,1085.8629150390625,1105.70751953125,1083.2093505859375,1102.5230712890625,1087.023681640625,13494914
2022-02-23,1108.1072998046875,1110.6224365234375,1092.8316650390625,1095.6236572265625,1080.2213134765625,7310110
2022-02-24,1063.757080078125,1079.863525390625,1035.3287353515625,1041.0281982421875,1026.3931884765625,24846650
2022-02-25,1052.2657470703125,1065.1185302734375,1050.489013671875,1054.0426025390625,1039.224853515625,14570089
2022-02-28,1035.1441650390625,1092.5316162109375,1035.1441650390625,1088.931884765625,1073.62353515625,21297446
2022-03-02,1077.3482666015625,1108.0611572265625,1074.9254150390625,1106.930419921875,1091.369140625,21471786
